Evaluation took:
  42.202 seconds of real time
  42.461852 seconds of total run time (34.305675 user, 8.156177 system)
  [ Run times consist of 0.418 seconds GC time, and 42.044 seconds non-GC time. ]
  100.62% CPU
  129,710,136,447 processor cycles
  2,478,721,072 bytes consed


Number of samples:   4236
Sample interval:     0.001 seconds
Total sampling time: 4.236 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "Swank Sentinel" RUNNING {1002D05593}>
 #<SB-THREAD:THREAD "control-thread" RUNNING {10030978A3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" RUNNING {1003098173}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {100310FDA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {100310FFA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 193      3   0.1      3   0.1   3475  82.0        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.DFUN-MORE-CONTEXT. SB-PCL::.DFUN-MORE-COUNT.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.18-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/varjo.internals/deftype.fasl")
 194      3   0.1      3   0.1   3478  82.1        -  "foreign function ldso_stub__sin"
 195      3   0.1      3   0.1   3481  82.2        -  CL-OPENGL-BINDINGS:DRAW-BUFFERS
 196      3   0.1      3   0.1   3484  82.2        -  "foreign function glDisable"
 197      3   0.1      3   0.1   3487  82.3        -  SB-IMPL::SLOW-HAIRY-DATA-VECTOR-REF
 198      3   0.1      3   0.1   3490  82.4        -  (FLET #:CLEANUP-FUN-320 :IN SB-THREAD::CALL-WITH-SYSTEM-MUTEX/WITHOUT-GCING)
 199      3   0.1      3   0.1   3493  82.5        -  CEPL-UTILS:LISTIFY
 200      3   0.1      3   0.1   3496  82.5        -  SB-KERNEL::RANDOM-MT19937-UPDATE
 201      3   0.1      3   0.1   3499  82.6        -  %CEPL.TYPES:%MAKE-GPU-ARRAY-BB
 202      3   0.1      3   0.1   3502  82.7        -  SCALE-FLOAT
 203      3   0.1      3   0.1   3505  82.7        -  (SB-PCL::FAST-METHOD INITIALIZE-INSTANCE (SB-PCL::SLOT-OBJECT))
 204      3   0.1      3   0.1   3508  82.8        -  SB-IMPL::SYMBOL-QUOTEP
 205      3   0.1      3   0.1   3511  82.9        -  SB-KERNEL:CLASSOID-CELL-TYPEP
 206      3   0.1      3   0.1   3514  83.0        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
 207      3   0.1      3   0.1   3517  83.0        -  SB-KERNEL:FLOAT-FORMAT-DIGITS
 208      2   0.0   4023  95.0   3519  83.1        -  DAFT::STEP-ENGINE
 209      2   0.0   2803  66.2   3521  83.1        -  DAFT::UPDATE-ACTOR-KINDS
 210      2   0.0    165   3.9   3523  83.2        -  DAFT::DRAW-ACTORS-COLLISION-MASK
 211      2   0.0    105   2.5   3525  83.2        -  CEPL.C-ARRAYS::GL-CALC-BYTE-SIZE
 212      2   0.0     91   2.1   3527  83.3        -  CEPL-UTILS:GL-ENUM
 213      2   0.0     48   1.1   3529  83.3        -  DAFT::ACCUMULATE-TRANSPARENT-PARTS-OF-ACTORS
 214      2   0.0     34   0.8   3531  83.4        -  (SB-PCL::FAST-METHOD PUSH-G (C-ARRAY %CEPL.TYPES:GPU-ARRAY-BB))
 215      2   0.0     15   0.4   3533  83.4        -  SB-KERNEL:OUTPUT-SYMBOL
 216      2   0.0     14   0.3   3535  83.5        -  FIND-CLASS
 217      2   0.0     13   0.3   3537  83.5        -  CL-OPENGL-BINDINGS:BUFFER-SUB-DATA
 218      2   0.0     13   0.3   3539  83.5        -  SB-IMPL::EQUAL-HASH
 219      2   0.0     11   0.3   3541  83.6        -  SXHASH
 220      2   0.0     10   0.2   3543  83.6        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:V-TYPE-EQ (V-TYPE SYMBOL))
 221      2   0.0      9   0.2   3545  83.7        -  SB-PCL::PLIST-VALUE
 222      2   0.0      8   0.2   3547  83.7        -  VAL-COUNTER-MAIN
 223      2   0.0      6   0.1   3549  83.8        -  CFFI::FOLLOW-TYPEDEFS
 224      2   0.0      6   0.1   3551  83.8        -  SB-IMPL::%WRITE-STRING
 225      2   0.0      5   0.1   3553  83.9        -  "foreign function memcpy"
 226      2   0.0      5   0.1   3555  83.9        -  (LAMBDA NIL :IN MAKE-STEPPER)
 227      2   0.0      4   0.1   3557  84.0        -  SUBSEQ-C
 228      2   0.0      3   0.1   3559  84.0        -  SB-IMPL::STRING-SOUT
 229      2   0.0      3   0.1   3561  84.1        -  GET-OUTPUT-STREAM-STRING
 230      2   0.0      3   0.1   3563  84.1        -  GAMEPAD-BUTTON
 231      2   0.0      3   0.1   3565  84.2        -  (FLET #:CLEANUP-FUN-285 :IN DAFT::RUN-COLLISION-CHECKS)
 232      2   0.0      2   0.0   3567  84.2        -  DAFT::ENSURE-COLL-ARRAY-SIZE
 233      2   0.0      2   0.0   3569  84.3        -  (LAMBDA (&REST CFFI::ARGS) :IN "/home/baggers/quicklisp/local-projects/daft/src/gpu-types.lisp")
 234      2   0.0      2   0.0   3571  84.3        -  (SB-PCL::FAST-METHOD CEPL.INTERNALS:SYMBOL-NAMES-CEPL-STRUCTP ((EQL (QUOTE DAFT::COLLISION-INFO))))
 235      2   0.0      2   0.0   3573  84.3        -  EMPTY-FBO-PARAMS-VIEWPORT
 236      2   0.0      2   0.0   3575  84.4        -  DAFT::MEMCPY
 237      2   0.0      2   0.0   3577  84.4        -  GETF
 238      2   0.0      2   0.0   3579  84.5        -  SB-KERNEL:UB32-BASH-COPY
